Orderdate,Continueddate,ITCcaseNo,DOCNo,ADCVD,ReviewSequenceGroupNo,ProductGroup,Product,Country,Column2,Column3,FedReg,Pubdate,Link,Column1,Column12,active
2017/5/25,,A-1325,A-580-887,A,222,ISM,Carbon and Alloy Steel Cut-to-Length Plate ,Korea,,,82 FR 24096, 5/25/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-05-25/pdf/2017-10757.pdf,,,1
2017/8/18,,A-1330,A-580-889,A,235,CH,Dioctyl Terephthalate (DOTP),Korea,,,82 FR 39409, 8/18/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-08-18/pdf/2017-17627.pdf,,,1
2017/9/12,,A-1335,A-580-890,A,237,PRSG,Emulsion Styrene-Butadiene Rubber,Korea,,,82 FR 42790, 9/12/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-09-12/pdf/2017-19287.pdf,,,1
2018/5/21,,A-1351,A-580-891,A,243,ISM,Carbon and Alloy Steel Wire Rod ,Korea,,,83 FR 23417 ,21-May-18,https://www.govinfo.gov/content/pkg/FR-2018-05-21/pdf/2018-10879.pdf,,,1
2018/6/11,,A-1366,A-580-892,A,251,ISP,Cold-Drawn Mechanical Tubing of Carbon and Alloy Steel,Korea,,,83 FR 26962, 6/11/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-06-11/pdf/2018-12593.pdf,,,1
2018/7/20,,A-1371,A-580-893,A,244,TX,Fine Denier Polyester Staple Fiber,Korea,,,83 FR 34545, 7/20/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-07-20/pdf/2018-15567.pdf,,,1
2018/8/16,,A-1378,A-580-895,A,261,TX,Low Melt Polyester Staple Fiber,Korea,,,83 FR 40752, 8/16/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-08-16/pdf/2018-17691.pdf,,,1
2019/4/23,,A-1405,A-580-897,A,249,ISP,Large Diameter Welded Pipe,Korea,,,84 FR 18767 ,  5/2/2019,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08950.pdf,,,1
2020/3/17,,A-1439,A-580-899,A,270,CH,Acetone,South Africa,,,85 FR 17866, 3/31/2020,https://www.govinfo.gov/content/pkg/FR-2020-03-31/pdf/2020-06639.pdf,,,1
2020/8/20,,A-1460,A-580-902,A,282,ME,Utility Scale Wind Towers,Korea,,,85 FR 52546, 8/26/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18792.pdf,,,1
2020/9/3,,A-1455,A-580-903,,283,CH,Polyethylene Terephthalate Sheet ,Korea ,,,85 FR 55824, 9/10/2020,https://www.govinfo.gov/content/pkg/FR-2020-09-10/pdf/2020-20011.pdf,,,1
1994/2/9,2011/1/23,A-640,A-583-821,A,70,ISO,Forged stainless steel flanges,Taiwan,,,76 FR 5331, 1/31/2011,,,,0
1998/9/15,2016/8/15,A-775,A-583-828,A,10,ISM,Stainless steel wire rod,Taiwan,,,81 FR 54043, 8/15/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-08-15/pdf/2016-19256.pdf,,,1
1999/5/21,2017/1/9,A-793,A-583-830,A,18,ISM,Stainless steel plate in coils,Taiwan,,,82 FR 2322,  1/9/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-01-09/pdf/2017-00140.pdf,,,1
1999/7/27,2017/10/3,A-803,A-583-831,A,25,ISM,Stainless steel sheet & strip,Taiwan,,,82 FR 46036, 10/3/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-10-03/pdf/2017-21210.pdf,,,1
2000/5/25,2017/2/10,A-826,A-583-833,A,53,TX,Polyester staple fiber,Taiwan,,,82 FR 10330, 2/10/2011,https://www.gpo.gov/fdsys/pkg/FR-2017-02-10/pdf/2017-02790.pdf,,,1
2001/11/29,2014/2/7,A-906,A-583-835,A,93,ISM,Hot-rolled carbon steel flat products,Taiwan,,,79 FR 7425,  2/4/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,,1
2002/7/1,2014/8/6,A-934,A-583-837,A,108,CH,Polyethylene terephthalate (PET) film,Taiwan,,,79 FR 45762,  8/6/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-08-06/pdf/2014-18599.pdf,,,1
2011/3/15,2013/12/30,A-1088,A-583-841,A,182,CH,Polyvinyl alcohol,Taiwan,,,79 FR 4442, 1/28/2014,,,,0
2008/9/17,2014/2/5,A-1130,A-583-842,A,152,ME,Raw flexible magnets,Taiwan,,,79 FR 6886,  2/5/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-02-05/pdf/2014-02438.pdf,,,1
2010/5/4,2016/5/6,A-1157,A-583-843,A,169,PRSG,Polyethylene Retail Carrier Bags,Taiwan,,,81 FR 27087,  5/5/2016,https://www.govinfo.gov/content/pkg/FR-2016-05-05/pdf/2016-10625.pdf,,,1
2010/9/1,2016/9/22,A-1165,A-583-844,A,175,TX,Narrow Woven Ribbons With Woven Selvedge,Taiwan,,,81 FR 65341, 9/22/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-09-22/pdf/2016-22888.pdf,,,1
2012/5/10,2017/11/27,A-1187,A-583-848,A,185,CH,Stilbenic Optical Brightening Agent,Taiwan,,,82 FR 55990,11/27/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-11-27/pdf/2017-25537.pdf,,,1
2012/12/10,2018/5/31,A-1197,A-583-849,A,190,ISO,Steel Wire Garment Hangers,Taiwan,,,83 FR 24972, 5/31/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11541.pdf,,,1
2014/9/10,2017/7/22,A-1219,A-583-850,A,,ISP,Oil Country Tubular Goods,Taiwan,,,82 FR 35181, 7/28/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-07-28/pdf/2017-15944.pdf,,,0
2014/12/3,,A-1243,A-583-851,A,202,ISM,Non-Oriented Electrical Steel,Taiwan,,,79 FR 71741, 12/3/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-12-03/pdf/2014-28405.pdf,,,1
2015/2/18,,A-1247,A-583-853,A,205,ME,Crystalline Silicon Photovoltaic Products,Taiwan,,,85 FR 56215, 9/11/2020,http://www.gpo.gov/fdsys/pkg/FR-2015-02-18/pdf/2015-03179.pdf,,,1
2015/7/13,,A-1255,A-583-854,A,206,ISO,Steel Nails,Taiwan,,,80 FR 39994, 7/13/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-07-13/pdf/2015-17239.pdf,,,1
2016/7/25,,A-1278,A-583-856,A,215,ISM,Corrosion-Resistant Steel Products,Taiwan,,,81 FR 48390, 7/25/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-07-25/pdf/2016-17557.pdf,,,1
2017/5/25,,A-1327,A-583-858,A,222,ISM,Carbon and Alloy Steel Cut-to-Length Plate ,Taiwan,,,82 FR 24096, 5/25/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-05-25/pdf/2017-10757.pdf,,,1
2017/10/2,,A-1339,A-583-859,A,238,ISM,Steel Concrete Reinforcing Bar,Taiwan,,,82 FR 45809, 10/2/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-10-02/pdf/2017-20925.pdf,,,1
2018/7/20,,A-1372,A-583-860,A,244,TX,Fine Denier Polyester Staple Fiber,Taiwan,,,83 FR 34545, 7/20/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-07-20/pdf/2018-15567.pdf,,,1
2018/8/16,,A-1379,A-583-861,A,261,TX,Low Melt Polyester Staple Fiber,Taiwan,,,83 FR 40752, 8/16/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-08-16/pdf/2018-17691.pdf,,,1
2018/9/24,,A-1396,A-583-863,A,253,ISO,Forged Steel Fittings,Taiwan,,,83 FR 48280, 9/24/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-09-24/pdf/2018-20797.pdf,,,1
2020/1/24,,A-1443,A-583-865,A,274,ISO,Carbon and Alloy Steel Threaded Rod,Taiwan ,,,85 FR 6511,  2/5/2020,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02274.pdf,,,1
1994/6/10,2006/3/28,A-660,A-588-831,A,,ISM,Grain-oriented electrical steel,Japan,,,,,,,,0
1995/2/21,2017/8/9,A-681,A-588-833,A,85,ISM,Stainless steel bar,Japan,,,83 FR 49910, 10/3/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-10-03/pdf/2018-21536.pdf,,,0
1995/8/11,2007/6/22,A-714,A-588-835,A,91,ISP,Oil country tubular goods,Japan,,,,,,,,0
1996/7/2,2018/12/18,A-739,A-588-838,A,96,ISM,Clad steel plate,Japan,,,83 FR 64811,12/18/2018,https://www.govinfo.gov/content/pkg/FR-2018-12-18/pdf/2018-27332.pdf,,,1
1998/9/15,2016/8/15,A-771,A-588-843,A,10,ISM,Stainless steel wire rod,Japan,,,81 FR 54043, 8/15/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-08-15/pdf/2016-19256.pdf,,,1
1999/7/27,2017/10/3,A-800,A-588-845,A,25,ISM,Stainless steel sheet & strip,Japan,,,82 FR 46036, 10/3/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-10-03/pdf/2017-21210.pdf,,,1
1999/6/29,2011/5/26,A-807,A-588-846,A,24,ISM,Hot-rolled carbon steel flat products,Japan,,,76 FR 36081, 6/21/2011,,,,0
2000/2/10,2012/1/4,A-820,A-588-847,A,40,ISM,Carbon steel plate,Japan,,,77 FR 263,  1/4/2012,,,,0
2000/6/26,2017/11/13,A-847-A,A-588-850,A,60,ISP,Large diameter seamless pipe,Japan,,,82 FR 52275,11/13/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-11-13/pdf/2017-24515.pdf,,,1
2000/6/26,2017/11/13,A-847-B,A-588-851,A,60,ISP,Small diameter seamless pipe,Japan,,,82 FR 52275,11/13/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-11-13/pdf/2017-24515.pdf,,,1
2000/6/19,2006/3/28,A-853,A-588-852,A,,ISO,Structural steel beams,Japan,,,,,,,,0
2000/8/28,2018/7/11,A-860,A-588-854,A,74,ISM,Tin mill products,Japan,,,83 FR 32074, 7/11/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-07-11/pdf/2018-14826.pdf,,,1
2001/5/18,2006/6/15,A-888,A-588-856,A,,ISM,Stainless steel angle,Japan,,,,,,,,0
2001/12/6,2013/10/29,A-919,A-588-857,A,99,ISP,Welded large diameter line pipe,Japan,,,84 FR 54837,10/11/2019,https://www.govinfo.gov/content/pkg/FR-2019-10-11/pdf/2019-22339.pdf,,,1
2003/7/2,2015/5/27,A-1016,A-588-861,A,116,CH,Polyvinyl alcohol,Japan,,,80 FR 30208, 5/27/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-05-27/pdf/2015-12788.pdf,,,1
2003/12/30,2008/12/30,A-1023,A-588-862,A,124,PRSG,Ceramic station post insulators,Japan,,,73 FR 75675,12/12/2008,,,,0
2005/12/22,2010/12/22,A-1090,A-588-866,A,138,MM,Superalloy degassed chromium,Japan,,,75 FR 80457,12/22/2010,,,,0
2014/5/29,,A-1206,A-588-869,A,195,ISM,"Diffusion-Annealed, Nickel-Plated Flat-Rolled Steel Products",Japan,,,84 FR 54114, 10/2/2019,https://www.govinfo.gov/content/pkg/FR-2019-10-09/pdf/2019-22055.pdf,,,1
2014/12/3,,A-1240,A-588-872,A,202,ISM,Non-Oriented Electrical Steel,Japan,,,79 FR 71741, 12/3/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-12-03/pdf/2014-28405.pdf,,,1
2016/7/14,,A-1286,A-588-873,A,214,ISM,Cold-Rolled Steel Flat Products,Japan,,,81 FR 45956, 7/14/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-07-14/pdf/2016-16798.pdf,,,1
2016/10/3,,A-1293,A-588-874,A,219,ISM,Hot-rolled carbon steel flat products,Japan,,,81 FR 67962, 10/3/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-10-03/pdf/2016-23836.pdf,,,1
2017/5/25,,A-1324,A-588-875,A,222,ISM,Carbon and Alloy Steel Cut-to-Length Plate ,Japan,,,82 FR 24096, 5/25/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-05-25/pdf/2017-10757.pdf,,,1
2019/6/18,,A-1415,A-588-878,A,256,CH,Glycine,Japan,,,84 FR 29170, 6/21/2019,https://www.govinfo.gov/content/pkg/FR-2019-06-21/pdf/2019-13362.pdf,,,1
2008/10/7,2015/1/9,A-1124,A-602-806,A,154,MM,Electrolytic manganese dioxide,Australia,,,80 FR 1393,  1/9/2015,,,,0
2016/3/3,,A-1264,A-602-807,A,212,AG,Uncoated Paper,Australia,,,81 FR 11174,  3/3/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-03-03/pdf/2016-04699.pdf,,,1
2016/10/3,,A-1291,A-602-809,A,219,ISM,Hot-rolled carbon steel flat products,Australia,,,81 FR 67962, 10/3/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-10-03/pdf/2016-23836.pdf,,,1
1999/5/21,2017/1/9,A-792,A-791-805,A,18,ISM,Stainless steel plate in coils,South Africa,,,82 FR 2322,  1/9/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-01-09/pdf/2017-00140.pdf,,,1
2000/6/26,2006/5/11,A-850,A-791-808,A,,ISP,"Small diameter carbon & alloy seamless standard, line, and pressure pipe",South Africa,,,,,,,,0
2001/9/19,2007/11/20,A-905,A-791-809,A,93,ISM,Hot-rolled carbon steel flat products,South Africa,,,,,,,,0
2003/1/28,2015/2/18,A-987,A-791-815,A,112,MM,Ferrovanadium ,South Africa,,,80 FR 8607, 8/20/2020,http://www.gpo.gov/fdsys/pkg/FR-2015-02-18/pdf/2015-03336.pdf4,,,1
2008/12/11,2014/4/23,A-1141,A-791-821,A,157,MSC,Uncovered innerspring units,South Africa,,,79 FR 22624, 4/23/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-04-23/pdf/2014-09275.pdf,,,1
2017/1/26,,A-1326,A-791-822,A,222,ISM,Carbon and Alloy Steel Cut-to-Length Plate,South Africa,,,82 FR 8911,  2/1/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-02-01/pdf/2017-02204.pdf,,,1
2020/3/17,,A-1436,A-791-824,A,270,CH,Acetone,Korea,,,85 FR 17866, 3/31/2020,https://www.govinfo.gov/content/pkg/FR-2020-03-31/pdf/2020-06639.pdf,,,1
1995/7/10,2011/10/13,A-702,A-821-807,A,89,MM,Ferrovanadium & nitrided vanadium,Russia,,,77 FR 54897,  9/6/2011,,,,0
1997/10/24,2015/12/12,A-754,A-821-808,A,7,ISM,Carbon steel plate (Suspended),Russia,,,80 FR 79306,12/21/2015,https://www.gpo.gov/fdsys/pkg/FR-2015-12-21/pdf/2015-32022.pdf,,,1
1999/7/12,2016/10/20,A-808,A-821-809,A,24,ISM,Hot-rolled carbon steel flat products,Russia,,,81 FR 72569,10/20/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-10-20/pdf/2016-25431.pdf,,,1
2000/5/19,2016/8/20,A-856,A-821-811,A,52,CH,Ammonium nitrate,Russia,,,81 FR 53433, 8/12/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-08-12/pdf/2016-19248.pdf,,,0
2003/3/26,2014/7/2,A-991,A-821-817,A,113,CH,Silicon metal,Russia,,,85 FR 37831, 6/24/2020,http://www.gpo.gov/fdsys/pkg/FR-2014-07-02/pdf/2014-15567.pdf,,,1
2005/4/15,2010/4/15,A-1072,A-821-819,A,135,MM,Magnesium,Russia,,,76 FR 13128, 3/10/2011,,,,0
2018/1/24,,A-1352,A-821-824,A,243,ISM,Carbon and Alloy Steel Wire Rod,Russia,,,83 FR 3297, 1/24/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-01-24/pdf/2018-01254.pdf,,,1
2001/9/7,2018/12/17,A-873,A-822-804,A,92,ISM,Steel concrete reinforcing bar,Belarus,,,83 FR 64530,12/17/2018,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,,1
2018/1/24,,A-1349,A-822-806,A,243,ISM,Carbon and Alloy Steel Wire Rod,Belarus,,,83 FR 3297, 1/24/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-01-24/pdf/2018-01254.pdf,,,1
2001/9/17,2012/11/8,A-673,A-823-805,A,80,MM,Silicomanganese,Ukraine ,,,77 FR 34012,  6/8/2012,,,,1
1997/10/24,2015/12/12,A-756,A-823-808,A,7,ISM,Carbon steel plate (Suspended),Ukraine,,,80 FR 79306,12/21/2015,https://www.gpo.gov/fdsys/pkg/FR-2015-12-21/pdf/2015-32022.pdf,,,1
2001/9/7,2018/12/17,A-882,A-823-809,A,92,ISM,Steel concrete reinforcing bar,Ukraine,,,83 FR 64530,12/17/2018,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,,1
2001/9/12,2018/6/12,A-894,A-823-810,A,,CH,Ammonium nitrate,Ukraine,,,83 FR 28202, 6/18/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-06-18/pdf/2018-12995.pdf,,,0
2001/11/29,2014/2/7,A-908,A-823-811,A,93,ISM,Hot-rolled carbon steel flat products,Ukraine,,,79 FR 7425,  2/4/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,,1
2002/10/29,2013/7/30,A-962,A-823-812,A,110,ISM,Carbon steel wire rod,Ukraine,,,79 FR 38009,  7/3/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-07-03/pdf/2014-15687.pdf,,,0
2014/7/10,,A-1222,A-823-815,A,199,ISP,Oil Country Tubular Goods,Ukraine,,,85 FR 48665, 8/12/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17632.pdf,,,1
2018/3/14,,A-1356,A-823-816,A,243,ISM,Carbon and Alloy Steel Wire Rod,Ukraine,,,83 FR 1115, 3/14/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-03-14/pdf/2018-05153.pdf,,,1
2001/11/21,2007/11/20,A-902,A-834-806,A,93,ISM,Hot-rolled carbon steel flat products,Kazakhstan,,,,,,,,0
2002/5/23,2019/6/12,A-930,A-834-807,A,106,MM,Silicomanganese,Kazakhstan,,,84 FR 27243, 6/12/2019,https://www.govinfo.gov/content/pkg/FR-2019-06-12/pdf/2019-12394.pdf,,,1
2001/9/7,2018/12/17,A-879,A-841-804,A,92,ISM,Steel concrete reinforcing bar,Moldova,,,83 FR 64530,12/17/2018,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,,1
2002/10/29,2014/7/3,A-959,A-841-805,A,110,ISM,Carbon steel wire rod,Moldova,,,85 FR 52953, 8/27/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,,1
2000/6/26,2006/5/11,A-846,A-851-802,A,,ISP,"Small diameter carbon & alloy seamless standard, line, and pressure pipe",Czech Republic,,,,,,,,0
2002/5/22,2006/10/19,C-414,C-122-839,C,105,AG,Softwood lumber,Canada,,,,,,,,0
2003/10/23,2006/2/16,C-430,C-122-848,C,,AG,Hard red spring wheat,Canada,,,,,,,,0
2015/12/10,2015/8/3,C-530,C-122-854,C,211,MSC,Supercalendered Paper ,Canada,,,83 FR 32268, 7/12/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-07-12/pdf/2018-14921.pdf,,,0
2018/1/3,,C-566,C-122-858,C,240,AG,Softwood Lumber Products,Canada,,,83 FR 347,  1/3/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-01-03/pdf/2017-28483.pdf,,,1
2020/8/20,,C-627,C-122-868,C,282,ME,Utility Scale Wind Towers,Canada ,,,85 FR 52546, 8/26/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18792.pdf,,,1
1999/7/6,2011/5/26,C-384,C-351-829,C,24,ISM,Hot-rolled carbon steel flat products,Brazil,,,76 FR 36081, 6/21/2011,,,,0
2002/10/22,2014/7/3,C-417,C-351-833,C,110,ISM,Carbon steel wire rod,Brazil,,,85 FR 52953, 8/27/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,,1
2016/9/20,,C-540,C-351-844,C,218,ISM,Cold-Rolled Steel Flat Products,Brazil,,,81 FR 64436, 9/20/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-09-20/pdf/2016-22614.pdf,,,1
2016/10/3,,C-545,C-351-846,C,219,ISM,Hot-rolled carbon steel flat products,Brazil,,,81 FR 67960, 10/3/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-10-03/pdf/2016-23835.pdf,,,1
2001/12/10,2011/12/1,C-402,C-357-813,C,100,AG,Honey,Argentina,,,77 FR 77029,12/31/2012,,,,0
2001/9/11,2007/11/20,C-404,C-357-815,C,93,ISM,Hot-rolled carbon steel flat products,Argentina,,,72 FR 62436, 11/5/2007,,,,0
2018/1/4,,C-571,C-357-821,C,241,CH,Biodiesel,Argentina,,,83 FR 522,  1/4/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-01-04/pdf/2017-28480.pdf,,,1
2002/2/13,2006/7/7,C-412,C-412-821,C,,MM,Low-enriched uranium,United Kingdom,,,,,,,,0
2002/2/13,2006/7/7,C-411,C-421-809,C,,MM,Low-enriched uranium,Netherlands,,,,,,,,0
1999/5/11,2011/5/5,C-376,C-423-809,C,18,ISM,Stainless steel plate in coils,Belgium,,,76 FR 25666,  5/5/2011,,,,0
2002/2/13,2007/5/25,C-409,C-427-819,C,102,MM,Low enriched uranium,France,,,,,,,,0
2002/2/13,2006/7/7,C-410,C-428-829,C,,MM,Low-enriched uranium,Germany,,,,,,,,0
2002/11/8,2008/11/8,C-426,C-437-805,C,111,CH,Sulfanilic acid,Hungary,,,73 FR 7527,  2/8/2008,,,,0
2018/8/1,,C-582,C-469-818,C,273,AG,Ripe Olives,Spain,,,83 FR 37469,  8/1/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-08-01/pdf/2018-16449.pdf,,,1
1994/6/7,2006/3/28,C-355,C-475-812,C,,ISM,Grain-oriented electrical steel,Italy,,,,,,,,0
1995/8/10,2006/12/26,C-364,C-475-817,C,91,ISP,Oil country tubular goods,Italy,,,,,,,,0
1996/7/24,2019/4/17,C-365,C-475-819,C,97,AG,Pasta,Italy,,,84 FR 16002, 4/17/2019,https://www.govinfo.gov/content/pkg/FR-2019-04-17/pdf/2019-07807.pdf,,,1
1999/5/11,2006/3/28,C-377,C-475-823,C,,ISM,Stainless steel plate in coils,Italy,,,,,,,,0
1999/8/6,2006/3/28,C-381,C-475-825,C,,ISM,Stainless steel sheet & strip in coils,Italy,,,,,,,,0
2000/2/10,2012/1/4,C-390,C-475-827,C,40,ISM,Carbon steel plate,Italy,,,77 FR 263,  1/4/2012,,,,0
2016/7/25,,C-535,C-475-833,C,215,ISM,Corrosion-Resistant Steel Products,India,,,81 FR 48387, 7/25/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-07-25/pdf/2016-17563.pdf,,,1
2018/5/21,,C-573,C-475-837,C,243,ISM,Carbon and Alloy Steel Wire Rod ,Italy,,,83 FR 23420, 5/21/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-05-21/pdf/2018-10880.pdf,,,1
1996/7/24,2019/4/17,C-366,C-489-806,C,97,AG,Pasta,Turkey,,,84 FR 16002, 4/17/2019,https://www.govinfo.gov/content/pkg/FR-2019-04-17/pdf/2019-07807.pdf,,,1
2014/9/10,,C-500,C-489-817,C,199,ISP,Oil Country Tubular Goods,Turkey,,,85 FR 48665, 8/12/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17632.pdf,,,1
2014/11/6,,C-502,C-489-819,C,200,ISM,Steel Concrete Reinforcing Bar,Turkey,,,79 FR 68926, 11/6/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-11-06/pdf/2014-26414.pdf,,,1
2015/12/1,,C-525,C-489-823,C,209,ISP,Welded Line Pipe,Turkey,,,80 FR 75054, 12/1/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-12-01/pdf/2015-30503.pdf,,,1
2016/9/13,,C-539,C-489-825,C,217,ISP,Heavy Walled Rectangular Welded Carbon Steel Pipes and Tubes,Turkey,,,81 FR 62874, 9/13/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-09-13/pdf/2016-22000.pdf,,,1
2017/7/14,,C-564,C-489-830,C,234,ISM,Steel Concrete Reinforcing Bar,Turkey,,,82 FR 32531, 7/14/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-07-14/pdf/2017-14803.pdf,,,1
2018/5/21,,C-574,C-489-832,C,243,ISM,Carbon and Alloy Steel Wire Rod ,Turkey,,,83 FR 23420, 5/21/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-05-21/pdf/2018-10880.pdf,,,1
2019/4/23,,C-596,C-489-834,C,249,ISP,Large Diameter Welded Pipe,Turkey,,,84 FR 18771, 4/23/2019,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08952.pdf,,,1
2020/6/15,,C-624,C-489-838,C,280,PRSG,Quartz Surface Products,India,,,85 FR 37431, 6/22/2020,https://www.govinfo.gov/content/pkg/FR-2020-06-22/pdf/2020-13374.pdf,,,1
2014/12/3,,C-506,C-507-997,C,202,ISM,Non-Oriented Electrical Steel,China,,,79 FR 71749, 12/3/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-12-03/pdf/2014-28507.pdf,,,1
